skill_id,job_id,usage_level
Amahift,Senemy022,5
AmaAWS),Senemy022,4
Datysis,Senemy022,5
Busumen,Senemy022,5
Comtion,Senemy022,5
Dasards,Senemy022,5
Datring,Senemy022,3
Datance,Senemy022,4
Datdels,Senemy022,5
Datines,Senemy022,5
Datsing,Senemy022,5
ExtETL),Senemy022,5
Excxcel,Senemy022,2
Opeions,Senemy022,2
Pytthon,Senemy022,1
SQLSQL,Senemy022,5
Tableau,Senemy022,5
Lininux,Senemy022,2
Amahift,Busemy021,5
AmaAWS),Busemy021,3
Datysis,Busemy021,5
Busumen,Busemy021,5
Comtion,Busemy021,5
Dasards,Busemy021,5
Datring,Busemy021,3
Datance,Busemy021,3
Datdels,Busemy021,4
Datines,Busemy021,4
Datsing,Busemy021,5
ExtETL),Busemy021,5
Excxcel,Busemy021,2
Opeions,Busemy021,3
Pytthon,Busemy021,1
SQLSQL,Busemy021,5
Tableau,Busemy021,5
Lininux,Busemy021,1
Amahift,BusHR019,5
AmaAWS),BusHR019,1
Datysis,BusHR019,5
Busumen,BusHR019,5
Comtion,BusHR019,4
Dasards,BusHR019,2
Datring,BusHR019,4
Datance,BusHR019,2
Datdels,BusHR019,5
Datines,BusHR019,4
Datsing,BusHR019,4
ExtETL),BusHR019,5
Excxcel,BusHR019,3
Opeions,BusHR019,3
Pytthon,BusHR019,0
SQLSQL,BusHR019,5
Tableau,BusHR019,0
Lininux,BusHR019,0
Amahift,Busdeo018,5
AmaAWS),Busdeo018,2
Datysis,Busdeo018,5
Busumen,Busdeo018,5
Comtion,Busdeo018,5
Dasards,Busdeo018,4
Datring,Busdeo018,1
Datance,Busdeo018,0
Datdels,Busdeo018,4
Datines,Busdeo018,2
Datsing,Busdeo018,3
ExtETL),Busdeo018,5
Excxcel,Busdeo018,2
Opeions,Busdeo018,3
Pytthon,Busdeo018,0
SQLSQL,Busdeo018,5
Tableau,Busdeo018,5
Lininux,Busdeo018,0
Amahift,Prodeo016,1
AmaAWS),Prodeo016,2
Datysis,Prodeo016,3
Busumen,Prodeo016,5
Comtion,Prodeo016,5
Dasards,Prodeo016,1
Datring,Prodeo016,0
Datance,Prodeo016,0
Datdels,Prodeo016,0
Datines,Prodeo016,0
Datsing,Prodeo016,0
ExtETL),Prodeo016,0
Excxcel,Prodeo016,4
Opeions,Prodeo016,5
Pytthon,Prodeo016,0
SQLSQL,Prodeo016,1
Tableau,Prodeo016,0
Lininux,Prodeo016,0
Amahift,Assdeo014,0
AmaAWS),Assdeo014,0
Datysis,Assdeo014,2
Busumen,Assdeo014,5
Comtion,Assdeo014,5
Dasards,Assdeo014,2
Datring,Assdeo014,0
Datance,Assdeo014,0
Datdels,Assdeo014,0
Datines,Assdeo014,0
Datsing,Assdeo014,0
ExtETL),Assdeo014,0
Excxcel,Assdeo014,5
Opeions,Assdeo014,5
Pytthon,Assdeo014,0
SQLSQL,Assdeo014,1
Tableau,Assdeo014,0
Lininux,Assdeo014,0
Amahift,Trason012,0
AmaAWS),Trason012,0
Datysis,Trason012,1
Busumen,Trason012,5
Comtion,Trason012,5
Dasards,Trason012,1
Datring,Trason012,0
Datance,Trason012,0
Datdels,Trason012,0
Datines,Trason012,0
Datsing,Trason012,0
ExtETL),Trason012,0
Excxcel,Trason012,3
Opeions,Trason012,5
Pytthon,Trason012,0
SQLSQL,Trason012,0
Tableau,Trason012,0
Lininux,Trason012,0